Date of data,Commodity code,Commodity,US dollar
201902,010129,Other horses,2116767
201902,010410,Sheep,748260
201902,010420,Goats,32425
201902,010511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",2631371
201902,010611,Primates,72418
201902,010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2456369
201902,010619,Other mammals,471160
201902,010620,Reptiles (including snakes and turtles),630411
201902,010639,Other birds,1576658
201902,010641,Bees,13072
201902,010649,Other insects,313
201902,010690,Other lives animals,114
201902,020120,Other cuts with bone in,353346
201902,020130,Boneless,11510740
201902,020220,Other cuts with bone in,34847246
201902,020230,Boneless,371514296
201902,020322,"Hams, shoulders and cuts thereof, with bone in",39679676
201902,020329,Other frozen meat of swine,103003573
201902,020422,"Other sheep cuts with bone in ,fresh or chilled",11027
201902,020423,"Boneless,fresh or chilled",2982
201902,020430,"Carcasses and halfcarcasses of lamb, frozen",1425827
201902,020441,"Carcasses and halfcarcasses,frozen",16877728
201902,020442,"Other cuts with bone in,frozen",100258727
201902,020443,"Boneless meat of sheep,frozen",4453059
201902,020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",731120
201902,020621,"Tongues of bovine animals,frozen",100485
201902,020622,"Livers of bovine animals,frozen",11442
201902,020629,"Other edible offal of bovine animals,frozen",4109459
201902,020649,"Other edible offal of swine,frozen",89110883
201902,020690,"Other edible offal,frozen",1167363
201902,020712,"Fowls of the species gallus domesticus,not cut in pieces, frozen",275679
201902,020714,"Cuts and offal, frozen",61559398
201902,020727,"Cuts and offal of turkeys , frozen",1270541
201902,020890,"Other meat and edible meat offal,fresh, chilled or frozen",102542
201902,020910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",4255893
201902,021019,Other,347332
201902,030111,Ornamental fish of freshwater,1429162
201902,030119,Other ornamental fish,186279
201902,030192,Eels (Anguilla spp),3720655
201902,030199,Other,5045157
201902,030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, fresh or chilled Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",321230
201902,030214,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,fresh or chilled",52986482
201902,030223,"Sole (Solea spp) ,fresh or chilled",803
201902,030229,"Other flat fish,fresh or chilled",81366
201902,030231,"Albacore or longfinned tunas (Thunnus alalunga) ,fresh or chilled",3783
201902,030232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",72680
201902,030233,"Skipjack or stripebellied bonito ,fresh or chilled",1909
201902,030235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",742621
201902,030236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",25653
201902,030241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",63948
201902,030243,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus) ,fresh or chilled",169
201902,030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",20158
201902,030245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",85453
201902,030249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),",568152
201902,030272,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) ,fresh or chilled",4117
201902,030274,"Eels (Anguilla spp) ,fresh or chilled",50
201902,030281,"Dogfish and other sharks ,fresh or chilled",757
201902,030284,"Seabass (Dicentrarchus spp) ,fresh or chilled",36
201902,030289,"Other fish,fresh or chilled",4522072
201902,030311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",114244
201902,030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",7074561
201902,030313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",6054900
201902,030314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",2213619
201902,030319,"Other salmonidae,frozen",978865
201902,030324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",1262790
201902,030325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",39183
201902,030326,"Eels (Anguilla spp) , frozen",32436
201902,030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",22829000
201902,030333,"Sole (Solea spp) , frozen",98977
201902,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",13080331
201902,030341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",64748
201902,030342,"Yellowfin tunas (Thunnus albacares),frozen",462101
201902,030343,"Skipjack or stripebellied bonito ,frozen",3848000
201902,030345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",4004
201902,030351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",4502445
201902,030353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",73065
201902,030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",11055160
201902,030355,"Jack and horse mackerel (Trachurus spp) ,frozen",2208223
201902,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",2527748
201902,030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",40485262
201902,030364,"Haddock (Melanogrammus aeglefinus) ,frozen",9670115
201902,030365,"Coalfish (Pollachius virens) ,frozen",435712
201902,030366,"Hake (Merluccius spp, Urophycis spp) ,frozen",2332087
201902,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",62281043
201902,030368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",1664955
201902,030369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",1555633
201902,030381,"Dogfish and other sharks ,frozen",278219
201902,030382,"Rays and skates (Rajidae) ,frozen",154537
201902,030383,"Toothfish (Dissostichus spp) ,frozen",18068418
201902,030389,"Other fish ,frozen",37981890
201902,030391,"Livers, roes and milt,frozen",2749749
201902,030392,"Shark fins ,frozen",1871393
201902,030399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",5804423
201902,030441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilled Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",11712
201902,030444,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",8595
201902,030449,"Fresh or chilled fillets of fish, n.e.s",28231
201902,030452,"Fresh or chilled meat, whether or not minced,of salmonidae",1333
201902,030459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",45433
201902,030461,Frozen fillets of tilapias (Oreochromis spp),12674
201902,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",6675203
201902,030463,Frozen fillets of nile Perch (Lates niloticus),202060
