Date of data,Commodity code,Commodity,US dollar
202102,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",4604330.0
202102,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",18696278.0
202102,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",3604272.0
202102,30365,"Coalfish (Pollachius virens) ,frozen",1535734.0
202102,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",826848.0
202102,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",6333292.0
202102,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",436993.0
202102,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",1165393.0
202102,30381,"Dogfish and other sharks ,frozen",44255.0
202102,30382,"Rays and skates (Rajidae) ,frozen",28091.0
202102,30383,"Toothfish (Dissostichus spp) ,frozen",2728408.0
202102,30389,"Other fish ,frozen",31025312.0
202102,30391,"Livers, roes and milt,frozen",4900784.0
202102,30392,"Shark fins ,frozen",594823.0
202102,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",6589518.0
202102,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",19569.0
202102,30449,"Fresh or chilled fillets of fish, n.e.s",25996.0
202102,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",69751.0
202102,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",3978580.0
202102,30463,Frozen fillets of nile Perch (Lates niloticus),80882.0
202102,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),548572.0
202102,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",912408.0
202102,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",68198.0
202102,30485,Frozen fillets of toothfish (Dissostichus spp),372.0
202102,30487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",71537.0
202102,30489,"Frozen fish fillets, n.e.s.",68711.0
202102,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",45792.0
202102,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",542864.0
202102,30499,Frozen fish meat n.e.s. (excluding fillets),3774230.0
202102,30551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",50008.0
202102,30554,"Dried herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp), sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp), jacks, crevalles (Caranx spp), cobia (Rachycentron canadum), silver pomfrets (Pampus spp), Pacific saury (Cololabis saira), scads (Decapterus spp), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp), marlins, sailfishes, spearfish (Istiophoridae)",176128.0
202102,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",720019.0
202102,30562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus),salted or in brine (excluding fillets and offal)",83621.0
202102,30563,"Anchovies (Engraulis spp), salted or in brine only (excluding fillets and offal)",65421.0
202102,30564,"Tilapia Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."", salted or in brine only (excluding fillets and offal)""",145337.0
202102,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",23013.0
202102,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",712337.0
202102,30579,"Other fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, tails, maws and shark fins)",189550.0
202102,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",2152348.0
202102,30612,Frozen lobsters (Homarus spp),923164.0
202102,30614,Frozen crabs,3573449.0
202102,30615,Frozen norway lobsters (Nephrops norvegicus),216775.0
202102,30616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",12635465.0
202102,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",150364270.0
202102,30619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",200836.0
202102,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",60831558.0
202102,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",68543093.0
202102,30633,"Crabs , whether in shell or not, live, fresh or chilled",100517783.0
202102,30634,"Norway lobsters (Nephrops norvegicus), whether in shell or not, live, fresh or chilled",25223.0
202102,30635,"Coldwater shrimps and prawns (Pandalus spp, Crangon crangon), whether in shell or not, live, fresh or chilled",27081.0
202102,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",13416804.0
202102,30639,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",3856496.0
202102,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",588223.0
202102,30699,"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in brine, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, dried, salted, smoked or in brine, fit for human consumption",268326.0
202102,30711,"Oysters, live, fresh, chilled",1722712.0
202102,30712,"Oysters, frozen",13920.0
202102,30721,"Live, fresh or chilled, scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",2348807.0
202102,30722,"Frozen scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",3074461.0
202102,30729,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, smoked, frozen, dried, salted or in brine, even in shell",235506.0
202102,30731,"Live, fresh or chilled, not smoked, mussels (Mytilus spp., Perna spp.), with or without shell",1071916.0
