数据年月,商品编码,商品名称,美元
201709,1702,其他固体糖，包括化学...,57663662
201709,1703,制糖后所剩的糖蜜,8960
201709,1704,不含可可的糖食（包括...,74127169
201709,1803,可可膏，不论是否脱脂,30575
201709,1804,可可脂、可可油,1491397
201709,1805,未加糖或其他甜物质的...,415745
201709,1806,巧克力及其他含可可的...,31054005
201709,1901,麦精；细粉、粗粒、粗...,16933379
201709,1902,面食，不论是否煮熟、...,70918847
201709,1903,珍粉及淀粉制成的珍粉...,641482
201709,1904,谷物或谷物产品经膨化...,21078144
201709,1905,面包、糕点、饼干及其...,38808436
201709,2001,蔬菜、水果、坚果及植...,10507191
201709,2002,番茄，用醋或醋酸以外...,52279871
201709,2003,蘑菇及块菌，用醋或醋...,46828137
201709,2004,其他冷冻蔬菜，用醋或...,25222484
201709,2005,其他未冷冻蔬菜，用醋...,189462635
201709,2006,糖渍蔬菜、水果、坚果...,21386824
201709,2007,烹煮的果酱、果冻、柑...,5976438
201709,2008,用其他方法制作或保藏...,199625681
201709,2009,未发酵及未加酒精的水...,58017942
201709,2101,咖啡、茶、马黛茶的浓...,33194665
201709,2102,酵母（活性或非活性）...,24937628
201709,2103,调味汁及其制品；混合...,90180135
201709,2104,汤料及其制品；均化混...,6115239
201709,2105,冰淇淋及其他冰制食品...,5271984
201709,2106,其他品目未列名的食品,117675804
201709,2201,未加糖或其他甜物质及...,7402235
201709,2202,加味、加糖或其他甜物...,21428577
201709,2203,麦芽酿造的啤酒,20446555
201709,2204,鲜葡萄酿造的酒，包括...,45548996
201709,2205,味美思酒及其他加植物...,132939
201709,2206,其他发酵饮料（例如，...,2101192
201709,2207,未改性乙醇，按容量计...,2275683
201709,2208,未改性乙醇，按容量计...,56455846
201709,2209,醋及用醋酸制得的醋代...,1519781
201709,2301,不适于供人食用的肉、...,552560
201709,2302,谷物或豆类植物在筛、...,827441
201709,2303,制造淀粉过程中的残渣...,13344531
201709,2304,提炼豆油所得的油渣饼...,29670543
201709,2305,提炼花生油所得的油渣...,35522
201709,2306,品目2304或230...,2846542
201709,2308,动物饲料用的其他处未...,7707439
201709,2309,配制的动物饲料,131029890
201709,2401,烟草；烟草废料,65224117
201709,2402,烟草或烟草代用品制成...,41751857
201709,2403,其他烟草及烟草代用品...,7470190
201709,2501,盐（包括精制盐及变性...,4825514
201709,2502,未焙烧的黄铁矿,291500
201709,2503,各种硫磺，但升华硫磺...,17940
201709,2504,天然石墨,21317882
201709,2505,各种天然砂，不论是否...,845185
201709,2506,石英（天然砂除外）；...,4039156
201709,2507,高岭土及类似土，不论...,8914224
201709,2508,其他粘土（不包括品目...,23561781
201709,2509,白垩,237388
201709,2510,天然磷酸钙、天然磷酸...,3358155
201709,2511,天然硫酸钡（重晶石）...,19640854
201709,2512,硅质化石粗粉（例如各...,341894
201709,2513,浮石；刚玉岩；天然刚...,3055341
201709,2514,板岩，不论是否粗加修...,1301044
201709,2515,大理石、石灰华及其他...,995109
201709,2516,花岗岩、斑岩、玄武岩...,1975932
201709,2517,通常作混凝土粒料、铺...,17688602
201709,2518,白云石，不论是否煅烧...,2886811
201709,2519,天然碳酸镁（菱镁矿）...,63363997
201709,2520,生石膏；硬石膏；熟石...,1141486
201709,2521,石灰石助熔剂；通常用...,117114
201709,2522,生石灰、熟石灰及水硬...,2235025
201709,2523,硅酸盐水泥、矾土水泥...,38855515
201709,2524,石棉,512728
201709,2525,云母，包括云母片；云...,3828678
201709,2526,天然冻石，不论是否粗...,12795068
201709,2528,天然硼酸盐及其精矿(...,61228
201709,2529,长石；白榴石；霞石及...,8063310
201709,2530,其他品目未列名的矿产...,12471167
201709,2601,铁矿砂及其精矿，包括...,81301993
