Date of data,Commodity code,Commodity,Renminbi Yuan
201809,10290,,34860305.0
201809,10310,,440680.0
201809,10391,,1226947.0
201809,10392,,226785986.0
201809,10420,,173686.0
201809,10511,,528840.0
201809,10611,,25376579.0
201809,10614,,350984.0
201809,10619,,1258914.0
201809,10620,,5087488.0
201809,10649,,21888.0
201809,10690,,132873.0
201809,20120,,171214.0
201809,20230,,1360572.0
201809,20312,,5509497.0
201809,20319,,9791304.0
201809,20321,,25966748.0
201809,20322,,76165.0
201809,20329,,89922066.0
201809,20442,,6548372.0
201809,20443,,1091286.0
201809,20450,,6727306.0
201809,20500,,997317.0
201809,20629,,22500.0
201809,20690,,61472.0
201809,20711,,119726265.0
201809,20712,,7013739.0
201809,20713,,4257736.0
201809,20714,,129624095.0
201809,20741,,27432848.0
201809,20742,,4586692.0
201809,20744,,206238.0
201809,20745,,1385275.0
201809,20751,,26781253.0
201809,20752,,128654.0
201809,20753,,24000.0
201809,20754,,37541.0
201809,20755,,6000.0
201809,20810,,19015815.0
201809,20890,,11765294.0
201809,20910,,137500.0
201809,21011,,262471.0
201809,21012,,151932.0
201809,21019,,579431.0
201809,21099,,499625.0
201809,30111,,1872488.0
201809,30192,,87725019.0
201809,30193,,56501956.0
201809,30199,,136988161.0
201809,30223,,439928.0
201809,30249,,1130363.0
201809,30273,,22234.0
201809,30274,,1019138.0
201809,30282,,480700.0
201809,30289,,46952674.0
201809,30291,,2822065.0
201809,30299,,1933.0
201809,30311,,5152019.0
201809,30312,,241963.0
201809,30313,,4794082.0
201809,30314,,782960.0
201809,30319,,938197.0
201809,30323,,144265251.0
201809,30324,,9095708.0
201809,30325,,1538915.0
201809,30326,,1341604.0
201809,30329,,66316.0
201809,30331,,17198879.0
201809,30332,,469281.0
201809,30333,,3640233.0
201809,30334,,727925.0
201809,30339,,45124844.0
201809,30341,,23315835.0
201809,30342,,31207343.0
201809,30343,,59529043.0
201809,30344,,69310616.0
201809,30349,,2186530.0
201809,30351,,6655157.0
201809,30353,,37863065.0
201809,30354,,428593114.0
201809,30355,,4704083.0
201809,30357,,9035190.0
201809,30359,,156830385.0
201809,30366,,2789484.0
201809,30367,,19180623.0
201809,30368,,62094.0
201809,30369,,1850524.0
201809,30381,,1559228.0
201809,30382,,313439.0
201809,30384,,3986107.0
201809,30389,,568176415.0
201809,30391,,24615347.0
201809,30399,,19657002.0
201809,30439,,2573235.0
201809,30451,,13424133.0
201809,30459,,23202.0
201809,30461,,183557819.0
201809,30462,,5721476.0
201809,30463,,1883132.0
201809,30469,,11840364.0
201809,30471,,460071113.0
201809,30472,,119124996.0
201809,30473,,28986642.0
201809,30474,,31972200.0
201809,30475,,466561518.0
201809,30479,,29291994.0
201809,30481,,299693679.0
201809,30482,,6152053.0
201809,30483,,273777696.0
201809,30484,,577358.0
201809,30485,,504570.0
201809,30486,,1113271.0
201809,30487,,77227301.0
201809,30488,,4269975.0
201809,30489,,352985375.0
201809,30491,,2482724.0
201809,30493,,4520593.0
201809,30494,,12417693.0
201809,30495,,21535577.0
201809,30496,,3660586.0
201809,30499,,204173857.0
201809,30510,,20670041.0
201809,30520,,53868235.0
201809,30531,,3327177.0
201809,30532,,81088276.0
201809,30539,,11276369.0
201809,30541,,3675730.0
201809,30543,,6521901.0
201809,30549,,15747414.0
201809,30551,,9708130.0
201809,30553,,5791182.0
201809,30554,,9144353.0
201809,30559,,81651056.0
201809,30562,,10989878.0
201809,30569,,15891004.0
201809,30571,,2761996.0
201809,30572,,4217467.0
201809,30579,,2422797.0
201809,30614,,268692514.0
201809,30615,,2700918.0
201809,30616,,37533726.0
201809,30617,,363058326.0
201809,30619,,9695975.0
201809,30631,,67930.0
201809,30633,,13758730.0
201809,30636,,43398902.0
201809,30639,,69822.0
201809,30693,,156766.0
201809,30695,,51411193.0
201809,30699,,984572.0
201809,30711,,1760782.0
201809,30712,,585965.0
201809,30721,,2706546.0
201809,30722,,127362121.0
201809,30729,,37957963.0
201809,30732,,3192774.0
201809,30739,,6189501.0
201809,30742,,2576940.0
201809,30743,,949379407.0
201809,30749,,55366640.0
201809,30751,,89755659.0
201809,30752,,104836917.0
201809,30759,,5826064.0
201809,30771,,54861590.0
201809,30772,,19072844.0
201809,30779,,2009.0
201809,30781,,20675513.0
201809,30783,,14073781.0
201809,30787,,7353506.0
201809,30791,,3470019.0
201809,30792,,34516471.0
201809,30799,,6020462.0
201809,30811,,200000.0
201809,30812,,2286088.0
201809,30819,,3521898.0
201809,30821,,6237099.0
201809,30822,,2680091.0
201809,30830,,25883965.0
201809,30890,,20213647.0
201809,40110,,9306.0
201809,40120,,14329383.0
201809,40150,,30.0
201809,40210,,637188.0
201809,40221,,3721790.0
201809,40229,,1656998.0
201809,40291,,174030.0
201809,40299,,1974298.0
201809,40310,,540979.0
201809,40390,,2803456.0
201809,40410,,16983.0
201809,40510,,6055425.0
201809,40590,,1228934.0
201809,40620,,605370.0
201809,40630,,325484.0
201809,40690,,288088.0
201809,40711,,261727.0
201809,40721,,66310461.0
201809,40729,,1160680.0
201809,40790,,31230080.0
201809,40811,,3238025.0
201809,40819,,2102243.0
201809,40891,,614441.0
201809,40899,,5193960.0
201809,40900,,128237365.0
201809,41000,,54339923.0
201809,50210,,46507435.0
201809,50290,,87718699.0
201809,50400,,645461980.0
201809,50510,,455580666.0
201809,50590,,3703026.0
201809,50790,,9478168.0
201809,50800,,4827700.0
201809,51000,,1641605.0
201809,51191,,15309717.0
201809,51199,,46191412.0
201809,60110,,2689115.0
201809,60210,,6117666.0
201809,60220,,226119.0
201809,60230,,98219.0
201809,60240,,55800.0
201809,60290,,104331544.0
201809,60311,,4987706.0
201809,60312,,15562017.0
201809,60313,,1710114.0
201809,60314,,26058383.0
201809,60315,,6092671.0
201809,60319,,14535860.0
201809,60390,,1510369.0
201809,60420,,21871989.0
201809,60490,,17182299.0
201809,70110,,764805.0
201809,70190,,194618227.0
201809,70200,,68349098.0
201809,70310,,380150620.0
