数据年月,商品编码,商品名称,人民币
202501,030494,冻阿拉斯加狭鳕鱼鱼肉,13416028
202501,030495,冻的犀鳕科、多丝真鳕...,22327508
202501,030499,其他冻鱼肉,119921606
202501,030520,干、熏、盐腌或盐渍的...,20189082
202501,030532,干、盐腌或盐渍的犀鳕...,118668041
202501,030539,其他干、盐腌或盐渍的...,2152541
202501,030541,熏大麻哈鱼、大西洋鲑...,4106929
202501,030542,熏鲱鱼（不包括食用杂...,9880696
202501,030543,熏鳟鱼（不包括食用杂...,11662293
202501,030549,其他熏鱼（不包括食用...,13816574
202501,030551,干鳕鱼(大西洋鳕鱼、...,2087399
202501,030553,干的犀鳕科、多丝真鳕...,4970352
202501,030554,干的鲱鱼（大西洋鲱鱼...,31075955
202501,030559,其他干鱼（不包括食用...,54692713
202501,030561,盐腌及盐渍的鲱鱼（不...,21914
202501,030562,盐腌及盐渍的鳕鱼(大...,11216226
202501,030569,其他盐腌及盐渍的鱼（...,14727896
202501,030571,鲨鱼翅,4764479
202501,030572,鱼头、鱼尾、鱼鳔,4289948
202501,030579,其他鱼鳍及其他可食用...,3429916
202501,030611,冻的岩礁虾和其他龙虾...,323472
202501,030612,冻的螯龙虾(螯龙虾属...,4061999
202501,030614,冻蟹,122546222
202501,030616,冻冷水小虾及对虾(长...,33026501
202501,030617,其他冻小虾及对虾,295310824
202501,030619,其他冻甲壳动物,301001
202501,030632,活、鲜或冷的螯龙虾（...,10308
202501,030633,活、鲜或冷的蟹,48552324
202501,030636,其他小虾及对虾,58321671
202501,030639,其他活、鲜或冷的甲壳...,219180
202501,030695,本品目所列其他方法加...,16274758
202501,030699,本品目所列其他方法加...,54400
202501,030711,活、鲜或冷的牡蛎(蚝...,11760860
202501,030712,冻的牡蛎(蚝),7498983
202501,030719,干、盐腌、盐渍或熏制...,97112
202501,030721,活、鲜或冷的扇贝及其...,1260922
202501,030722,冻的扇贝及其他扇贝科...,133209469
202501,030729,干、盐腌、盐渍或熏制...,2436836
202501,030731,活、鲜或冷的贻贝,94880
202501,030732,冻的贻贝,18063232
202501,030742,活、鲜或冷的墨鱼及鱿...,17750574
202501,030743,冻的墨鱼及鱿鱼,1310264173
202501,030749,冻、干、盐腌、盐渍或...,43867509
202501,030751,活、鲜或冷的章鱼,37151537
202501,030752,冻的章鱼,100624243
202501,030759,干、盐腌、盐渍或熏制...,772869
202501,030760,蜗牛及螺，海螺除外,71963
202501,030771,活、鲜或冷的蛤、鸟蛤...,61321117
202501,030772,冻的蛤、鸟蛤及舟贝（...,21964114
202501,030779,干、盐腌、盐渍或熏制...,124124
202501,030781,活、鲜或冷的鲍鱼（鲍...,20326433
202501,030783,冻的鲍鱼（鲍属）,3029775
202501,030787,干、盐腌、盐渍或熏制...,1680545
202501,030791,其他活、鲜、冷的软体...,8128112
202501,030792,未列名冻的软体动物,38682885
202501,030799,未列名干、盐腌、盐渍...,852809
202501,030811,活、鲜或冷的海参(仿...,37854
202501,030812,冻的海参(仿刺参、海...,6067490
202501,030819,干、盐腌、盐渍或熏制...,558
202501,030821,活、鲜或冷的海胆,5929400
202501,030822,冻的海胆（球海胆属、...,3928705
202501,030830,活、鲜、冷、冻、干、...,13868353
202501,030890,其他活、鲜、冷、冻、...,6527250
202501,030910,适合供人食用的鱼的细...,553127
202501,030990,适合供人食用的甲壳动...,755043
202501,040110,未浓缩及未加糖或其他...,136960
202501,040120,未浓缩及未加糖或其他...,15514153
202501,040140,未浓缩及未加糖或其他...,11055
202501,040150,未浓缩及未加糖或其他...,177121
202501,040210,固态乳及稀奶油，含脂...,10313217
202501,040221,未加糖的固态乳及稀奶...,82994911
202501,040229,其他固态乳及稀奶油，...,12250
202501,040291,其他浓缩、未加糖的乳...,151352
202501,040299,其他浓缩的乳及稀奶油,1698797
202501,040320,酸乳,5261626
202501,040390,酪乳、结块的乳及稀奶...,4237754
202501,040490,其他含天然乳产品,971880
202501,040510,黄油,10767331
202501,040590,其他从乳提取的脂和油,3991628
202501,040620,各种磨碎或粉化的乳酪,1277923
202501,040630,经加工的乳酪（但磨碎...,673696
202501,040690,未列名的乳酪,476240
202501,040711,孵化用受精鸡蛋,2283860
202501,040719,其他孵化用受精禽蛋,372000
202501,040721,鲜鸡蛋,120110738
202501,040729,其他鲜蛋,697111
202501,040790,其他腌制或煮过的带壳...,35447623
202501,040811,干蛋黄,3827425
202501,040819,其他蛋黄,13083768
202501,040891,干去壳禽蛋,1342911
202501,040899,其他去壳禽蛋,17993034
202501,040900,天然蜂蜜,166066916
202501,041010,其他品目未列名的昆虫,771794
202501,041090,其他食用动物产品,45186763
202501,050210,猪鬃、猪毛及其废料,24106946
202501,050290,獾毛及其他制刷用兽毛...,1429209
202501,050400,动物肠、膀胱、胃，鲜...,643898494
202501,050510,填充用羽毛；羽绒,592814952
202501,050590,其他羽毛；带羽毛或绒...,6837675
202501,050690,其他未加工、简单整理...,8100
202501,050790,龟壳、鲸须、角、蹄、...,10946249
202501,050800,珊瑚等；软体、甲壳、...,7363025
202501,051000,动物香料；斑蝥；胆汁...,1576433
202501,051191,鱼、甲壳、软体动物等...,29380311
202501,051199,未列名动物产品；不宜...,69710305
202501,060110,休眠的根、茎,2037197
202501,060120,生长或开花的根、茎；...,52500
202501,060210,无根插枝及接穗植物,26557
202501,060220,食用水果或坚果树、灌...,1400873
202501,060230,杜鹃，不论是否嫁接,4712409
202501,060240,玫瑰，不论是否嫁接,531539
202501,060290,其他苗木,294982051
202501,060311,鲜的制花束或装饰用的...,22525404
202501,060312,鲜的制花束或装饰用的...,17795381
202501,060313,鲜的制花束或装饰用的...,1647366
202501,060314,鲜的制花束或装饰用的...,23792295
202501,060315,鲜的制花束或装饰用的...,5534788
202501,060319,其他鲜的制花束或装饰...,38942164
202501,060390,制花束或装饰用的插花...,15527318
202501,060420,鲜的制花束或装饰用的...,20091719
202501,060490,其他制花束或装饰用的...,20493356
202501,070110,种用马铃薯,2492469
202501,070190,鲜或冷藏的马铃薯，种...,125463823
202501,070200,鲜或冷藏的番茄,48875767
202501,070310,鲜或冷藏的洋葱及青葱,244928731
202501,070320,鲜或冷藏的大蒜,1679736450
202501,070390,鲜或冷藏的韭葱及其他...,47465767
202501,070410,鲜或冷藏的菜花及西兰...,151362167
202501,070420,鲜或冷藏的抱子甘蓝,211099
202501,070490,其他鲜或冷藏的食用芥...,202390465
202501,070511,鲜或冷藏的结球莴苣（...,26334289
202501,070519,其他鲜或冷藏的莴苣,59306342
202501,070529,其他鲜或冷藏的菊苣,238489
202501,070610,鲜或冷藏的胡萝卜及芜...,176174805
202501,070690,其他鲜或冷藏的食用根...,82301762
202501,070700,鲜或冷藏的黄瓜及小黄...,33821365
202501,070810,鲜或冷藏的豌豆,13990790
202501,070820,鲜或冷藏的豇豆及菜豆,90232848
202501,070890,其他鲜或冷藏的豆类蔬...,995919
202501,070920,鲜或冷藏的芦笋,52151
202501,070930,鲜或冷藏的茄子,5170945
202501,070940,鲜或冷藏的芹菜（块根...,10493179
202501,070951,鲜或冷藏的伞菌属蘑菇,18286616
202501,070952,鲜或冷藏的牛肝菌属蘑...,18469
202501,070953,鲜或冷藏的鸡油菌属蘑...,46535
202501,070954,鲜或冷藏的香菇,47368321
202501,070956,鲜或冷藏的块菌（松露...,6230563
202501,070959,鲜或冷藏的其他蘑菇及...,202983796
202501,070960,鲜或冷藏的辣椒属及多...,77888451
202501,070970,鲜或冷藏的菠菜,88401353
202501,070993,鲜或冷藏的南瓜、笋瓜...,9759254
202501,070999,其他鲜或冷藏的蔬菜,145986440
202501,071010,冷冻马铃薯,17208608
202501,071021,冷冻豌豆,21016770
202501,071022,冷冻豇豆及菜豆,20197186
202501,071029,其他冷冻豆类蔬菜,141366897
202501,071030,冷冻菠菜,84079641
202501,071040,冷冻甜玉米,45957071
202501,071080,冷冻未列名蔬菜,736928645
202501,071090,冷冻什锦蔬菜,68378320
202501,071140,暂时保藏的黄瓜及小黄...,6569332
202501,071151,暂时保藏的伞菌属蘑菇,36258841
202501,071159,其他暂时保藏的蘑菇及...,12801015
202501,071190,其他暂时保藏的蔬菜、...,63528363
202501,071220,干洋葱,34508663
202501,071231,干伞菌属蘑菇,502789
202501,071232,干木耳,151037418
202501,071233,干银耳,45402684
202501,071234,干香菇,246710939
202501,071239,其他干蘑菇及块菌,63561081
202501,071290,其他干蔬菜；什锦蔬菜,952118314
202501,071310,干豌豆,3922850
202501,071320,干鹰嘴豆,39266
202501,071331,绿豆,106334722
202501,071332,红小豆（赤豆）,73176012
202501,071333,芸豆,78935451
202501,071335,干牛豆(豇豆),2256740
202501,071339,未列名豇豆属及菜豆属...,126114
202501,071340,干扁豆,1007411
202501,071350,干蚕豆,15423311
202501,071390,其他脱荚干豆,9346662
202501,071410,鲜、冷、冻或干的木薯,14551
202501,071420,鲜、冷、冻或干的甘薯,4171268
