Date of data,Commodity code,Commodity,Renminbi Yuan
202212,30329,"Other tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.),frozen",746835.0
202212,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",17814049.0
202212,30333,"Sole (Solea spp) , frozen",2856878.0
202212,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",19161388.0
202212,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",39603861.0
202212,30342,"Yellowfin tunas (Thunnus albacares),frozen",6490426.0
202212,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",14284715.0
202212,30344,"Bigeye tunas (Thunnus obesus) ,frozen",5922942.0
202212,30349,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),frozen",71172.0
202212,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",9796479.0
202212,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",247820932.0
202212,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",7409281.0
202212,30356,"Cobia (Rachycentron canadum) ,frozen",583268.0
202212,30357,"Swordfish (Xiphias gladius) ,frozen",3862813.0
202212,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",161957500.0
202212,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",5882.0
202212,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",495297.0
202212,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",1196125.0
202212,30381,"Dogfish and other sharks ,frozen",899196.0
202212,30383,"Toothfish (Dissostichus spp) ,frozen",4573628.0
202212,30384,"Seabass (Dicentrarchus spp) ,frozen",1014587.0
202212,30389,"Other fish ,frozen",647722533.0
202212,30391,"Livers, roes and milt,frozen",156536606.0
202212,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",29194665.0
202212,30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",1418333.0
202212,30444,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",1635.0
202212,30449,"Fresh or chilled fillets of fish, n.e.s",2043486.0
202212,30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",21445795.0
202212,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",353972.0
202212,30461,Frozen fillets of tilapias (Oreochromis spp),58046065.0
202212,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",10911755.0
202212,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""",19935076.0
202212,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",679709875.0
202212,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),118752124.0
202212,30473,Frozen fillets of coalfish (Pollachius virens),33658855.0
202212,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",14400559.0
202212,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),641046317.0
202212,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",36493093.0
202212,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",470982771.0
202212,30482,"Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki, Oncorhynchus aguabonita, Oncorhynchus gilae,Oncorhynchus apache and Oncorhynchus chrysogaster)",3241183.0
202212,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",260764036.0
202212,30484,Frozen fillets of swordfish (Xiphias gladius),692248.0
202212,30486,"Frozen fillets of herrings (Clupea harengus, Clupea pallasii)",680914.0
202212,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",60559853.0
202212,30488,"Frozen fillets of dogfish, other sharks, rays and skates (Rajidae)",5289825.0
202212,30489,"Frozen fish fillets, n.e.s.",308319320.0
202212,30491,"Frozen meat, whether or not minced, of swordfish (Xiphias gladius)",184655.0
202212,30493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",124413.0
202212,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",39486817.0
202212,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",15635052.0
202212,30496,"Frozen meat, whether or not minced, of dogfish and other sharks",3404919.0
202212,30499,Frozen fish meat n.e.s. (excluding fillets),203613050.0
202212,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",25652819.0
202212,30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",113603970.0
202212,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",2266681.0
202212,30541,"Smoked Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",1379960.0
202212,30542,"Smoked herrings (Clupea harengus, Clupea pallasii)",6237890.0
202212,30543,"Smoked trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",8315610.0
202212,30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)",10214851.0
202212,30551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",4957713.0
202212,30553,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2521528.0
202212,30554,"Dried herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp), sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp), jacks, crevalles (Caranx spp), cobia (Rachycentron canadum), silver pomfrets (Pampus spp), Pacific saury (Cololabis saira), scads (Decapterus spp), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp), marlins, sailfishes, spearfish (Istiophoridae)",8772931.0
202212,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",66641009.0
202212,30562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus),salted or in brine (excluding fillets and offal)",11462169.0
202212,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",5849262.0
202212,30571,"Shark fins, smoked, dried, salted or in brine",533126.0
202212,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",2689791.0
202212,30579,"Other fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, tails, maws and shark fins)",2556709.0
202212,30614,Frozen crabs,170312815.0
202212,30616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",72510297.0
202212,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",209343426.0
202212,30619,Other frozen crustaceans,434682.0
