Date of data,Commodity code,Commodity,US dollar
201504,30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",247876.0
201504,30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",2410821.0
201504,30461,Frozen fillets of tilapias (Oreochromis spp),41327222.0
201504,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",2009700.0
201504,30463,Frozen fillets of nile Perch (Lates niloticus),260758.0
201504,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""",108650.0
201504,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",43604957.0
201504,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),10265729.0
201504,30473,Frozen fillets of coalfish (Pollachius virens),1749163.0
201504,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",2303234.0
201504,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),60224553.0
201504,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",3875756.0
