Date of data,Commodity code,Commodity,US dollar
202301,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",3537742.0
202301,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",7532188.0
202301,30342,"Yellowfin tunas (Thunnus albacares),frozen",758072.0
202301,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",2130629.0
202301,30344,"Bigeye tunas (Thunnus obesus) ,frozen",936523.0
202301,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",1710777.0
202301,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",54455109.0
202301,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",616946.0
202301,30357,"Swordfish (Xiphias gladius) ,frozen",250605.0
202301,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",13700767.0
202301,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",203751.0
202301,30384,"Seabass (Dicentrarchus spp) ,frozen",281910.0
202301,30389,"Other fish ,frozen",63967367.0
202301,30391,"Livers, roes and milt,frozen",17376932.0
202301,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",4245335.0
202301,30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",137530.0
202301,30444,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",174021.0
202301,30449,"Fresh or chilled fillets of fish, n.e.s",181545.0
202301,30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",710460.0
202301,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",242.0
202301,30461,Frozen fillets of tilapias (Oreochromis spp),5984421.0
202301,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",224863.0
202301,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""",794713.0
202301,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",78466103.0
202301,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),10971518.0
202301,30473,Frozen fillets of coalfish (Pollachius virens),5914670.0
202301,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",2269569.0
202301,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),65400075.0
202301,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",5271966.0
202301,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",59408819.0
202301,30482,"Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki, Oncorhynchus aguabonita, Oncorhynchus gilae,Oncorhynchus apache and Oncorhynchus chrysogaster)",382026.0
202301,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",30396348.0
202301,30484,Frozen fillets of swordfish (Xiphias gladius),3516.0
202301,30486,"Frozen fillets of herrings (Clupea harengus, Clupea pallasii)",194606.0
202301,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",9981114.0
202301,30488,"Frozen fillets of dogfish, other sharks, rays and skates (Rajidae)",331289.0
202301,30489,"Frozen fish fillets, n.e.s.",45805426.0
202301,30493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",14319.0
202301,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",2657072.0
202301,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",1291320.0
202301,30499,Frozen fish meat n.e.s. (excluding fillets),28288865.0
