Date of data,Commodity code,Commodity,US dollar
202505,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)","543,271"
202505,30326,"Eels (Anguilla spp) , frozen","2,092,692"
202505,30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen","2,892,390"
202505,30332,"Plaice (Pleuronectes platessa) , frozen","237,376"
202505,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen","2,778,182"
202505,30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen","8,434,556"
202505,30342,"Yellowfin tunas (Thunnus albacares),frozen","3,913,820"
202505,30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen","562,937"
202505,30344,"Bigeye tunas (Thunnus obesus) ,frozen","3,232,032"
202505,30349,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis),frozen","130,900"
202505,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen","3,533,153"
202505,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen","4,655,832"
202505,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen","35,995,728"
202505,30355,"Jack and horse mackerel (Trachurus spp) ,frozen","1,908,134"
202505,30357,"Swordfish (Xiphias gladius) ,frozen","206,540"
202505,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen","12,539,530"
202505,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen","3,278,690"
202505,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen","458,770"
202505,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen","981,738"
202505,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen","4,307"
202505,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen","105,264"
202505,30383,"Toothfish (Dissostichus spp) ,frozen","21,500"
202505,30384,"Seabass (Dicentrarchus spp) ,frozen","458,319"
202505,30389,"Other fish ,frozen","60,993,511"
202505,30391,"Livers, roes and milt,frozen","2,550,638"
202505,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen","1,017,745"
202505,30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)","257,499"
202505,30449,"Fresh or chilled fillets of fish, n.e.s","206,630"
202505,30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)","1,775,237"
202505,30452,"Fresh or chilled meat, whether or not minced,of salmonidae","101,460"
202505,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)","58,251"
202505,30461,Frozen fillets of tilapias (Oreochromis spp),"11,021,506"
202505,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)","622,136"
202505,30463,Frozen fillets of nile Perch (Lates niloticus),"9,180"
202505,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""","2,367,363"
202505,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","68,724,494"
202505,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),"14,891,035"
202505,30473,Frozen fillets of coalfish (Pollachius virens),"8,872,150"
202505,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)","2,633,837"
202505,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),"53,188,946"
202505,30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)","3,813,843"
