数据年月,商品编码,商品名称,人民币
202501,1601,肉、食用杂碎、动物血...,119130860
202501,1602,其他方法制作或保藏的...,1260919876
202501,1603,肉、鱼、甲壳动物、软...,18585111
202501,1604,制作或保藏的鱼；鲟鱼...,3386583894
202501,1605,制作或保藏的甲壳动物...,2991531901
202501,1701,固体甘蔗糖、甜菜糖及...,90122704
202501,1702,其他固体糖，包括化学...,900347212
202501,1703,制糖后所剩的糖蜜,12953
202501,1704,不含可可的糖食（包括...,1289972556
202501,1804,可可脂、可可油,13228511
202501,1805,未加糖或其他甜物质的...,20819775
202501,1806,巧克力及其他含可可的...,424035698
202501,1901,麦精；细粉、粗粒、粗...,155001678
202501,1902,面食，不论是否煮熟、...,936025988
202501,1903,珍粉及淀粉制成的珍粉...,13066408
202501,1904,谷物或谷物产品经膨化...,225522321
202501,1905,面包、糕点、饼干及其...,593217177
202501,2001,蔬菜、水果、坚果及植...,90963008
202501,2002,番茄，用醋或醋酸以外...,594099201
202501,2003,蘑菇及块菌，用醋或醋...,455535414
202501,2004,其他冷冻蔬菜，用醋或...,480850561
202501,2005,其他未冷冻蔬菜，用醋...,1308858011
202501,2006,糖渍蔬菜、水果、坚果...,227267125
202501,2007,烹煮的果酱、果冻、柑...,72841911
202501,2008,用其他方法制作或保藏...,2212573358
202501,2009,未发酵及未加酒精的水...,692959409
202501,2101,咖啡、茶、马黛茶的浓...,153601771
202501,2102,酵母（活性或非活性）...,378752445
202501,2103,调味汁及其制品；混合...,1006699778
202501,2104,汤料及其制品；均化混...,56147170
202501,2105,冰淇淋及其他冰制食品...,31441534
202501,2106,其他品目未列名的食品,2843046815
202501,2201,未加糖或其他甜物质及...,55177687
202501,2202,加味、加糖或其他甜物...,281477960
202501,2203,麦芽酿造的啤酒,316272812
202501,2204,鲜葡萄酿造的酒，包括...,19856507
202501,2205,味美思酒及其他加植物...,21782
202501,2206,其他发酵饮料（例如，...,23586618
202501,2207,未改性乙醇，按容量计...,47458483
202501,2208,未改性乙醇，按容量计...,517349779
202501,2209,醋及用醋酸制得的醋代...,14812691
202501,2301,不适于供人食用的肉、...,1828649
202501,2302,谷物或豆类植物在筛、...,2758813
202501,2303,制造淀粉过程中的残渣...,251874793
202501,2304,提炼豆油所得的油渣饼...,300595947
202501,2305,提炼花生油所得的油渣...,932850
202501,2306,品目23.04或23...,22801908
202501,2308,动物饲料用的其他处未...,60874650
202501,2309,配制的动物饲料,1932417649
202501,2401,烟草；烟草废料,267785666
202501,2402,烟草或烟草代用品制成...,103500483
202501,2403,其他烟草及烟草代用品...,23709554
202501,2404,含烟草、再造烟草、尼...,5251145997
202501,2501,盐（包括精制盐及变性...,106811091
202501,2502,未焙烧的黄铁矿,10843378
202501,2503,各种硫磺，但升华硫磺...,539569
202501,2504,天然石墨,128958416
202501,2505,各种天然砂，不论是否...,6068360
202501,2506,石英（天然砂除外）；...,88974302
202501,2507,高岭土及类似土，不论...,88087870
202501,2508,其他黏土（不包括品目...,153566726
202501,2509,白垩,35346
202501,2510,天然磷酸钙、天然磷酸...,25544789
202501,2511,天然硫酸钡（重晶石）...,103438079
202501,2512,硅质化石粗粉（例如各...,7792606
202501,2513,浮石；刚玉岩；天然刚...,22619770
202501,2514,板岩，不论是否粗加修...,1771426
202501,2515,大理石、石灰华及其他...,5015492
202501,2516,花岗岩、斑岩、玄武岩...,2387311
202501,2517,通常作混凝土粒料、铺...,139669320
202501,2518,白云石，不论是否煅烧...,22412535
202501,2519,天然碳酸镁（菱镁矿）...,606220819
202501,2520,生石膏；硬石膏；熟石...,9609295
202501,2521,石灰石助熔剂；通常用...,2152449
202501,2522,生石灰、熟石灰及水硬...,30690769
202501,2523,硅酸盐水泥、矾土水泥...,150833265
202501,2524,石棉,12544622
202501,2525,云母，包括云母片；云...,25259865
202501,2526,天然冻石，不论是否粗...,85360922
202501,2528,天然硼酸盐及其精矿(...,1886786
202501,2529,长石；白榴石；霞石及...,92265704
202501,2530,其他品目未列名的矿产...,90651694
202501,2601,铁矿砂及其精矿，包括...,1450168348
202501,2602,锰矿砂及其精矿，包括...,85126567
202501,2603,铜矿砂及其精矿,12635
202501,2606,铝矿砂及其精矿,905266
202501,2610,铬矿砂及其精矿,6635565
202501,2613,钼矿砂及其精矿,309823238
202501,2614,钛矿砂及其精矿,80254969
202501,2615,铌、钽、钒或锆矿砂及...,7149747
202501,2618,冶炼钢铁所产生的粒状...,51038036
202501,2619,冶炼钢铁所产生的熔渣...,4388627
202501,2620,含有金属、砷及其化合...,2632625
202501,2621,其他矿渣及矿灰，包括...,46494191
202501,2701,煤；煤砖、煤球及用煤...,432006150
202501,2702,褐煤，不论是否制成型...,122875
202501,2703,泥煤（包括肥料用泥煤...,266597
202501,2704,煤、褐煤或泥煤制成的...,826536256
202501,2706,从煤、褐煤或泥煤蒸馏...,933101
202501,2707,蒸馏高温煤焦油所得的...,30823714
202501,2708,从煤焦油或其他矿物焦...,174063941
202501,2709,石油原油及从沥青矿物...,1797768930
202501,2710,石油及从沥青矿物提取...,17420574580
202501,2711,石油气及其他烃类气,1952167465
202501,2712,凡士林；石蜡、微晶石...,432153982
202501,2713,石油焦、石油沥青及其...,469086249
202501,2714,天然沥青（地沥青）、...,2739849
202501,2715,以天然沥青（地沥青）...,4631455
202501,2716,电力,837385498
202501,2801,氟、氯、溴及碘,11852396
202501,2803,碳（碳黑及其他品目未...,719057295
202501,2804,氢、稀有气体及其他非...,896146089
202501,2805,碱金属、碱土金属；稀...,158001222
202501,2806,氯化氢（盐酸）；氯磺...,8861339
202501,2807,硫酸；发烟硫酸,117982551
202501,2808,硝酸；磺硝酸,11134097
202501,2809,五氧化二磷；磷酸；多...,376111004
202501,2810,硼的氧化物；硼酸,6095053
202501,2811,其他无机酸及非金属无...,998832185
202501,2812,非金属卤化物及卤氧化...,105201344
202501,2813,非金属硫化物；商品三...,22188803
202501,2814,氨及氨水,17509793
