Date of data,Commodity code,Commodity,Renminbi Yuan
201907,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",163577393.0
201907,30342,"Yellowfin tunas (Thunnus albacares),frozen",13735668.0
201907,30343,"Skipjack or stripebellied bonito ,frozen",150563296.0
201907,30344,"Bigeye tunas (Thunnus obesus) ,frozen",1503423.0
201907,30345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",903319.0
201907,30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",52674359.0
201907,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",31953560.0
201907,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",30000314.0
201907,30355,"Jack and horse mackerel (Trachurus spp) ,frozen",8130087.0
201907,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",21765381.0
201907,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",364298094.0
201907,30364,"Haddock (Melanogrammus aeglefinus) ,frozen",83534272.0
201907,30365,"Coalfish (Pollachius virens) ,frozen",25386745.0
201907,30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",38766094.0
201907,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",346920753.0
201907,30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",11768205.0
201907,30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",22620618.0
201907,30381,"Dogfish and other sharks ,frozen",7997819.0
201907,30382,"Rays and skates (Rajidae) ,frozen",2284111.0
201907,30383,"Toothfish (Dissostichus spp) ,frozen",70516602.0
201907,30389,"Other fish ,frozen",379511614.0
201907,30391,"Livers, roes and milt,frozen",33488451.0
201907,30392,"Shark fins ,frozen",11154902.0
201907,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",47580056.0
201907,30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilledOncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",415013.0
201907,30444,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",138166.0
201907,30449,"Fresh or chilled fillets of fish, n.e.s",199142.0
201907,30452,"Fresh or chilled meat, whether or not minced,of salmonidae",50398.0
201907,30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",811748.0
201907,30461,Frozen fillets of tilapias (Oreochromis spp),296728.0
201907,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",332918370.0
201907,30463,Frozen fillets of nile Perch (Lates niloticus),967241.0
201907,30469,"Frozen fillets of carp Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""""",3455.0
201907,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2642230.0
